"motherEduc" "IQ" "KWW" "educ" "expr" "wage"
8 93 35 12 0.462 365.037467865329
14 119 41 16 0 229.981759670985
14 108 46 14 0.423 301.87106828279
12 96 32 12 0.333 240.086674044968
6 74 27 9 9.013 375.027741287151
8 91 24 9 0.333 121.997432569558
8 114 50 18 1.205 673.171414975328
14 111 37 15 1.25 332.952554216867
12 95 44 12 2.048 310.132616139558
13 132 44 18 1.372 591.108743716165
16 102 45 14 0 311.999005405027
12 125 40 14 0.365 500.195989190632
10 119 24 16 0.69 191.904912124547
12 118 47 16 2.389 749.945097111882
6 105 37 10 4.378 303.080970747648
12 109 39 12 0 269.077650092266
10 72 36 11 8.787 332.952554216867
12 105 29 12 0 365.037467865329
8 101 34 11 0.378 199.93653676148
12 123 37 12 1.786 325.056820709323
12 113 49 16 0.47 505.223042456829
10 95 36 12 0.295 311.999005405027
12 145 50 16 8.341 961.986098560033
11 114 35 16 1 455.775334224703
16 124 32 16 1.447 512.858510942829
12 93 40 12 2.378 172.949561506035
8 115 39 18 4.45 712.656829855791
13 125 41 17 2.358 577.091019403042
16 128 35 18 0.897 462.201064059447
8 103 40 12 6.768 375.027741287151
12 98 41 14 2.378 500.195989190632
12 108 41 13 0 249.884797086018
18 129 40 18 0 409.93556958674
17 132 42 16 1.475 577.091019403042
8 92 24 13 0 249.884797086018
15 106 35 13 0 467.780888818981
13 105 37 16 2.269 350.023396712763
12 123 46 17 0 557.799734937191
8 108 48 12 6.333 315.134647539442
12 122 47 16 0.47 510.81117430212
12 109 44 12 1.712 399.814224310928
10 100 40 12 0 278.105350350645
14 125 50 18 0.795 441.863053341411
12 122 41 14 1.869 449.888601546773
12 105 34 16 0 230.90352901934
12 94 37 16 0.423 258.010427300931
12 102 36 12 2.167 275.062955346731
12 109 47 12 6.533 481.063847316259
12 105 45 12 8.101 300.065264701246
12 134 46 18 0.906 255.954578243271
12 108 32 12 0.923 217.892103022072
12 104 36 16 2.442 361.044059730337
12 112 35 12 0.462 175.037458571798
11 120 49 18 0 278.105350350645
17 124 40 16 1.189 208.096101616061
12 103 34 12 0.462 201.945932362163
12 115 45 16 0 312.936407821815
6 96 33 12 3.333 262.959492657045
12 123 48 17 0.884 276.995150828553
12 98 34 12 0.378 175.037458571798
12 96 34 12 4.333 280.0589173104
12 89 47 12 5 350.023396712763
9 93 20 12 0.374 187.916929346392
12 82 32 12 1.916 249.884797086018
12 120 45 15 1.378 699.943767728358
12 122 38 12 5.324 430.09237018413
12 117 48 18 1.467 836.310537122332
8 109 44 16 1.619 595.261020937334
12 114 55 17 1.462 577.091019403042
12 126 40 16 0.552 505.223042456829
11 82 45 12 0 199.93653676148
12 119 45 16 0.942 389.942775940367
12 104 37 16 0 363.943996488901
12 97 45 12 3.461 265.868014619529
14 105 27 14 0.221 249.884797086018
7 100 32 12 2.25 317.983660695687
12 114 41 12 0 215.077838039293
8 96 48 11 1.583 311.999005405027
12 113 30 15 2.682 577.091019403042
14 106 38 10 3.333 240.086674044968
8 104 37 13 0.128 311.999005405027
12 104 30 12 0 449.888601546773
16 122 36 12 0.381 199.93653676148
12 96 38 12 0 224.977410638035
16 95 51 15 2.308 345.848217131731
16 105 24 12 0 337.984487682715
12 91 41 17 1.178 800.310678175625
12 96 37 16 0.753 226.105114601753
9 111 44 14 0.378 215.077838039293
9 110 35 14 0 249.884797086018
9 97 37 16 4.533 399.814224310928
8 125 44 17 0 741.740906815699
9 91 39 12 0 307.969268377411
8 86 28 11 3.259 298.86740096706
9 110 32 12 3.333 245.918455678822
12 92 47 14 2.333 259.044535848419
9 85 41 10 1.378 215.077838039293
8 120 36 17 0.358 625.155238190674
12 106 42 12 6.886 550.044948812039
12 112 41 16 0.236 307.969268377411
10 91 39 10 0 470.125650281816
10 90 42 12 2.645 399.814224310928
12 113 27 12 0.096 159.972191979387
12 111 51 12 0 337.984487682715
12 111 30 12 2.378 180.910059694309
8 106 32 12 0.452 150.054715862554
12 98 28 12 0.231 175.037458571798
12 105 28 12 0 243.958956480835
10 105 29 10 0.978 270.967801454569
12 118 44 13 0 483.958906893715
12 90 38 12 4.667 335.962652328185
9 95 34 12 0.981 156.961413302918
12 112 24 13 0.411 427.947275538768
12 120 39 12 0.403 399.814224310928
12 123 41 12 0.378 175.037458571798
16 103 32 12 0.782 427.947275538768
16 121 40 18 0.896 625.155238190674
12 90 44 16 0 431.816184996071
12 125 32 12 2.652 260.082789114007
9 109 34 18 3.186 557.799734937191
10 128 46 16 0.404 434.849502516328
12 97 35 12 0.333 336.972053630071
12 96 35 12 0 199.93653676148
12 97 44 12 0.769 214.005132846879
7 112 39 12 4.985 562.842591366322
2 88 32 12 4 191.904912124547
14 97 39 12 1.142 350.023396712763
6 101 41 12 0 249.884797086018
7 106 42 10 5.333 229.981759670985
8 59 28 10 6.321 199.93653676148
12 105 54 18 0.372 509.790572895124
12 119 30 16 0 261.125203709768
8 93 36 11 4.403 275.062955346731
12 82 38 12 4.717 260.082789114007
16 134 45 18 0 433.113578668523
8 84 29 12 0.395 500.195989190632
12 98 36 11 2.962 300.065264701246
13 118 41 16 4.057 286.002342115112
12 113 50 17 3.712 343.092469084175
9 100 18 12 1.308 199.93653676148
12 93 27 12 0 242.015070739333
